gender,agegroup,education,ethnicity,income,shopping,risk,harm,infotype,willingness-,willingness
Male,25-29,Some college or associate degree,White,"Less than $25,000",4,only 1 person in your country,Surveillance,DriversLicenseInformation,4,5
Female,35-39,"High school graduate, no college",White,"Less than $25,000",5,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,5,4
Female,35-39,"High school graduate, no college",White,"Less than $25,000",5,only 1 person in your country,Insecurity,DriversLicenseInformation,5,4
Female,35-39,"High school graduate, no college",White,"Less than $25,000",5,only 1 person in your country,Surveillance,DriversLicenseInformation,5,4
Female,25-29,Bachelor's degree,Native American or American Indian,"$25,000 to $34,999",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,3,6
Female,25-29,Bachelor's degree,Native American or American Indian,"$25,000 to $34,999",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,5,4
Female,25-29,Bachelor's degree,Native American or American Indian,"$25,000 to $34,999",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,3,6
Male,18-24,Bachelor's degree,Black or African American,"$25,000 to $34,999",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,7,2
Male,18-24,Bachelor's degree,Black or African American,"$25,000 to $34,999",3,only 1 person in your country,Insecurity,DriversLicenseInformation,7,2
Male,18-24,Bachelor's degree,Black or African American,"$25,000 to $34,999",3,only 1 person in your country,Surveillance,DriversLicenseInformation,7,2
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",5,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,6,3
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",5,only 1 person in your city,Insecurity,DriversLicenseInformation,6,3
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",5,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,25-29,Bachelor's degree,White,"$35,000 to $49,999",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,7,2
Male,25-29,Bachelor's degree,White,"$35,000 to $49,999",4,only 1 person in your city,Insecurity,DriversLicenseInformation,7,2
Male,25-29,Bachelor's degree,White,"$35,000 to $49,999",4,only 1 person in your city,Surveillance,DriversLicenseInformation,7,2
Male,45-49,Bachelor's degree,White,"$100,000 to $124,999",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,8,1
Male,45-49,Bachelor's degree,White,"$100,000 to $124,999",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,8,1
Male,45-49,Bachelor's degree,White,"$100,000 to $124,999",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,8,1
Female,50-54,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,4,5
Female,50-54,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,4,5
Female,50-54,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,4,5
Male,40-44,Bachelor's degree,Black or African American,"$25,000 to $34,999",5,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,3,6
Male,40-44,Bachelor's degree,Black or African American,"$25,000 to $34,999",5,only 1 person in your state,Insecurity,DriversLicenseInformation,4,5
Male,40-44,Bachelor's degree,Black or African American,"$25,000 to $34,999",5,only 1 person in your state,Surveillance,DriversLicenseInformation,3,6
Female,60 or older,Bachelor's degree,Other,"Less than $25,000",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,8,1
Female,60 or older,Bachelor's degree,Other,"Less than $25,000",4,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Female,60 or older,Bachelor's degree,Other,"Less than $25,000",4,only 1 person in your city,Surveillance,DriversLicenseInformation,8,1
Male,25-29,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,6,3
Male,25-29,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your city,Insecurity,DriversLicenseInformation,6,3
Male,25-29,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,2,7
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",3,only 1 person in your country,Insecurity,DriversLicenseInformation,4,5
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",3,only 1 person in your country,Surveillance,DriversLicenseInformation,5,4
Female,50-54,Bachelor's degree,White,"$35,000 to $49,999",5,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,8,1
Female,50-54,Bachelor's degree,White,"$35,000 to $49,999",5,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Female,50-54,Bachelor's degree,White,"$35,000 to $49,999",5,only 1 person in your city,Surveillance,DriversLicenseInformation,8,1
Male,18-24,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,7,2
Male,18-24,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your country,Insecurity,DriversLicenseInformation,7,2
Male,18-24,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your country,Surveillance,DriversLicenseInformation,7,2
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,2,7
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,4,5
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,4,5
Female,30-34,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,7,2
Female,30-34,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,White,"Less than $25,000",4,only 1 person in your state,Surveillance,DriversLicenseInformation,8,1
Male,35-39,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Male,35-39,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Male,35-39,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,8,1
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,8,1
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,Surveillance,DriversLicenseInformation,8,1
Male,35-39,Some college or associate degree,Native American or American Indian,"$75,000 to $99,999",3,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,5,4
Male,35-39,Some college or associate degree,Native American or American Indian,"$75,000 to $99,999",3,only 1 person in your state,Insecurity,DriversLicenseInformation,7,2
Male,35-39,Some college or associate degree,Native American or American Indian,"$75,000 to $99,999",3,only 1 person in your state,Surveillance,DriversLicenseInformation,7,2
Female,35-39,Bachelor's degree,White,"Less than $25,000",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,8,1
Female,35-39,Bachelor's degree,White,"Less than $25,000",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,8,1
Female,35-39,Bachelor's degree,White,"Less than $25,000",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,8,1
Female,40-44,Bachelor's degree,White,"Less than $25,000",2,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,7,2
Female,40-44,Bachelor's degree,White,"Less than $25,000",2,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Female,40-44,Bachelor's degree,White,"Less than $25,000",2,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",1,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,4,5
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",1,only 1 person in your family,Insecurity,DriversLicenseInformation,5,4
Male,45-49,Some college or associate degree,White,"$35,000 to $49,999",1,only 1 person in your family,Surveillance,DriversLicenseInformation,4,5
Male,18-24,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,6,3
Male,18-24,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your city,Insecurity,DriversLicenseInformation,7,2
Male,18-24,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,40-44,Some college or associate degree,White,"Less than $25,000",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,7,2
Male,40-44,Some college or associate degree,White,"Less than $25,000",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,7,2
Male,40-44,Some college or associate degree,White,"Less than $25,000",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,7,2
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,7,2
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,Insecurity,DriversLicenseInformation,7,2
Female,40-44,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your state,Surveillance,DriversLicenseInformation,6,3
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,8,1
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your city,Surveillance,DriversLicenseInformation,8,1
Female,25-29,"High school graduate, no college",White,"Less than $25,000",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,4,5
Female,25-29,"High school graduate, no college",White,"Less than $25,000",3,only 1 person in your country,Insecurity,DriversLicenseInformation,5,4
Female,25-29,"High school graduate, no college",White,"Less than $25,000",3,only 1 person in your country,Surveillance,DriversLicenseInformation,5,4
Male,40-44,Bachelor's degree,Asian/Pacific Islander,"$125,000 to $149,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,6,3
Male,40-44,Bachelor's degree,Asian/Pacific Islander,"$125,000 to $149,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,6,3
Male,40-44,Bachelor's degree,Asian/Pacific Islander,"$125,000 to $149,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,6,3
Male,30-34,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,8,1
Male,30-34,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your country,Insecurity,DriversLicenseInformation,8,1
Male,30-34,Some college or associate degree,White,"$50,000 to $74,999",4,only 1 person in your country,Surveillance,DriversLicenseInformation,8,1
Male,45-49,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",5,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,3,6
Male,45-49,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",5,only 1 person in your workplace,Insecurity,DriversLicenseInformation,7,2
Male,45-49,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",5,only 1 person in your workplace,Surveillance,DriversLicenseInformation,3,6
Female,35-39,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,6,3
Female,35-39,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,35-39,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your state,Surveillance,DriversLicenseInformation,7,2
Female,25-29,Some college or associate degree,Asian/Pacific Islander,"Less than $25,000",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,5,4
Female,25-29,Some college or associate degree,Asian/Pacific Islander,"Less than $25,000",3,only 1 person in your country,Insecurity,DriversLicenseInformation,5,4
Female,25-29,Some college or associate degree,Asian/Pacific Islander,"Less than $25,000",3,only 1 person in your country,Surveillance,DriversLicenseInformation,5,4
Male,30-34,Bachelor's degree,Asian/Pacific Islander,"$50,000 to $74,999",4,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,5,4
Male,30-34,Bachelor's degree,Asian/Pacific Islander,"$50,000 to $74,999",4,only 1 person in your state,Insecurity,DriversLicenseInformation,5,4
Male,30-34,Bachelor's degree,Asian/Pacific Islander,"$50,000 to $74,999",4,only 1 person in your state,Surveillance,DriversLicenseInformation,5,4
Female,30-34,Bachelor's degree,White,"$75,000 to $99,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,White,"$75,000 to $99,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,White,"$75,000 to $99,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,8,1
Female,35-39,Some college or associate degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,6,3
Female,35-39,Some college or associate degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,6,3
Female,35-39,Some college or associate degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,6,3
Male,25-29,Some college or associate degree,White,"$75,000 to $99,999",5,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,8,1
Male,25-29,Some college or associate degree,White,"$75,000 to $99,999",5,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Male,25-29,Some college or associate degree,White,"$75,000 to $99,999",5,only 1 person in your city,Surveillance,DriversLicenseInformation,8,1
Male,18-24,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,3,6
Male,18-24,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your city,Insecurity,DriversLicenseInformation,2,7
Male,18-24,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your city,Surveillance,DriversLicenseInformation,3,6
Female,25-29,"High school graduate, no college",Other,"Less than $25,000",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,6,3
Female,25-29,"High school graduate, no college",Other,"Less than $25,000",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,5,4
Female,25-29,"High school graduate, no college",Other,"Less than $25,000",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,6,3
Female,25-29,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,8,1
Female,25-29,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your country,Insecurity,DriversLicenseInformation,8,1
Female,25-29,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your country,Surveillance,DriversLicenseInformation,8,1
Female,30-34,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,5,4
Female,30-34,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your city,Insecurity,DriversLicenseInformation,4,5
Female,30-34,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your city,Surveillance,DriversLicenseInformation,4,5
Male,25-29,Masters degree,White,"$35,000 to $49,999",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,7,2
Male,25-29,Masters degree,White,"$35,000 to $49,999",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,7,2
Male,25-29,Masters degree,White,"$35,000 to $49,999",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,White,"$100,000 to $124,999",2,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,5,4
Female,30-34,Bachelor's degree,White,"$100,000 to $124,999",2,only 1 person in your workplace,Insecurity,DriversLicenseInformation,6,3
Female,30-34,Bachelor's degree,White,"$100,000 to $124,999",2,only 1 person in your workplace,Surveillance,DriversLicenseInformation,5,4
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,5,4
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,7,2
Male,25-29,Bachelor's degree,White,"$50,000 to $74,999",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,7,2
Female,60 or older,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,6,3
Female,60 or older,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,6,3
Female,60 or older,Some college or associate degree,White,"$25,000 to $34,999",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,7,2
Male,25-29,Bachelor's degree,Asian/Pacific Islander,"Less than $25,000",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Male,25-29,Bachelor's degree,Asian/Pacific Islander,"Less than $25,000",4,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Male,25-29,Bachelor's degree,Asian/Pacific Islander,"Less than $25,000",4,only 1 person in your family,Surveillance,DriversLicenseInformation,7,2
Female,30-34,Masters degree,Black or African American,"$35,000 to $49,999",3,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,7,2
Female,30-34,Masters degree,Black or African American,"$35,000 to $49,999",3,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Female,30-34,Masters degree,Black or African American,"$35,000 to $49,999",3,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,18-24,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,4,5
Male,18-24,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your country,Insecurity,DriversLicenseInformation,3,6
Male,18-24,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your country,Surveillance,DriversLicenseInformation,5,4
Female,60 or older,"High school graduate, no college",White,"$35,000 to $49,999",5,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,8,1
Female,60 or older,"High school graduate, no college",White,"$35,000 to $49,999",5,only 1 person in your city,Insecurity,DriversLicenseInformation,8,1
Female,60 or older,"High school graduate, no college",White,"$35,000 to $49,999",5,only 1 person in your city,Surveillance,DriversLicenseInformation,8,1
Male,35-39,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,5,4
Male,35-39,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,6,3
Male,35-39,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,4,5
Female,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,5,4
Female,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your country,Insecurity,DriversLicenseInformation,4,5
Female,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your country,Surveillance,DriversLicenseInformation,4,5
Male,25-29,"High school graduate, no college",Hispanic or Latino,"Less than $25,000",5,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,6,3
Male,25-29,"High school graduate, no college",Hispanic or Latino,"Less than $25,000",5,only 1 person in your state,Insecurity,DriversLicenseInformation,5,4
Male,25-29,"High school graduate, no college",Hispanic or Latino,"Less than $25,000",5,only 1 person in your state,Surveillance,DriversLicenseInformation,6,3
Male,35-39,Bachelor's degree,White,"Less than $25,000",5,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,8,1
Male,35-39,Bachelor's degree,White,"Less than $25,000",5,only 1 person in your country,Insecurity,DriversLicenseInformation,7,2
Male,35-39,Bachelor's degree,White,"Less than $25,000",5,only 1 person in your country,Surveillance,DriversLicenseInformation,6,3
Male,50-54,Bachelor's degree,White,"$75,000 to $99,999",2,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,7,2
Male,50-54,Bachelor's degree,White,"$75,000 to $99,999",2,only 1 person in your state,Insecurity,DriversLicenseInformation,7,2
Male,50-54,Bachelor's degree,White,"$75,000 to $99,999",2,only 1 person in your state,Surveillance,DriversLicenseInformation,5,4
Female,60 or older,Some college or associate degree,White,"$35,000 to $49,999",2,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Female,60 or older,Some college or associate degree,White,"$35,000 to $49,999",2,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Female,60 or older,Some college or associate degree,White,"$35,000 to $49,999",2,only 1 person in your family,Surveillance,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,Black or African American,"$75,000 to $99,999",2,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,Black or African American,"$75,000 to $99,999",2,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,30-34,Bachelor's degree,Black or African American,"$75,000 to $99,999",2,only 1 person in your state,Surveillance,DriversLicenseInformation,8,1
Female,45-49,"High school graduate, no college",White,"$75,000 to $99,999",3,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,6,3
Female,45-49,"High school graduate, no college",White,"$75,000 to $99,999",3,only 1 person in your city,Insecurity,DriversLicenseInformation,7,2
Female,45-49,"High school graduate, no college",White,"$75,000 to $99,999",3,only 1 person in your city,Surveillance,DriversLicenseInformation,7,2
Male,30-34,Masters degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,8,1
Male,30-34,Masters degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,Insecurity,DriversLicenseInformation,8,1
Male,30-34,Masters degree,White,"$50,000 to $74,999",4,only 1 person in your workplace,Surveillance,DriversLicenseInformation,8,1
Female,45-49,"High school graduate, no college",White,"$25,000 to $34,999",3,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,8,1
Female,45-49,"High school graduate, no college",White,"$25,000 to $34,999",3,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,45-49,"High school graduate, no college",White,"$25,000 to $34,999",3,only 1 person in your state,Surveillance,DriversLicenseInformation,8,1
Male,50-54,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,6,3
Male,50-54,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,4,5
Male,50-54,Some college or associate degree,White,"$35,000 to $49,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,6,3
Male,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,2,7
Male,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your state,Insecurity,DriversLicenseInformation,2,7
Male,60 or older,Bachelor's degree,White,"$50,000 to $74,999",4,only 1 person in your state,Surveillance,DriversLicenseInformation,2,7
Male,50-54,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Male,50-54,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Male,50-54,Bachelor's degree,White,"$35,000 to $49,999",2,only 1 person in your family,Surveillance,DriversLicenseInformation,7,2
Female,30-34,Some college or associate degree,Other,"$50,000 to $74,999",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,8,1
Female,30-34,Some college or associate degree,Other,"$50,000 to $74,999",4,only 1 person in your family,Insecurity,DriversLicenseInformation,8,1
Female,30-34,Some college or associate degree,Other,"$50,000 to $74,999",4,only 1 person in your family,Surveillance,DriversLicenseInformation,8,1
Male,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your family,InducedDisclosure,DriversLicenseInformation,5,4
Male,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your family,Insecurity,DriversLicenseInformation,5,4
Male,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your family,Surveillance,DriversLicenseInformation,6,3
Female,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,8,1
Female,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your state,Insecurity,DriversLicenseInformation,8,1
Female,60 or older,"High school graduate, no college",White,"Less than $25,000",4,only 1 person in your state,Surveillance,DriversLicenseInformation,8,1
Female,60 or older,Some college or associate degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,6,3
Female,60 or older,Some college or associate degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your workplace,Insecurity,DriversLicenseInformation,7,2
Female,60 or older,Some college or associate degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your workplace,Surveillance,DriversLicenseInformation,6,3
Female,50-54,Some college or associate degree,White,"Less than $25,000",2,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,8,1
Female,50-54,Some college or associate degree,White,"Less than $25,000",2,only 1 person in your country,Insecurity,DriversLicenseInformation,8,1
Female,50-54,Some college or associate degree,White,"Less than $25,000",2,only 1 person in your country,Surveillance,DriversLicenseInformation,8,1
Male,35-39,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,6,3
Male,35-39,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your city,Insecurity,DriversLicenseInformation,4,5
Male,35-39,Some college or associate degree,White,"Less than $25,000",3,only 1 person in your city,Surveillance,DriversLicenseInformation,6,3
Male,30-34,Bachelor's degree,White,"$50,000 to $74,999",2,only 1 person in your workplace,InducedDisclosure,DriversLicenseInformation,4,5
Male,30-34,Bachelor's degree,White,"$50,000 to $74,999",2,only 1 person in your workplace,Insecurity,DriversLicenseInformation,8,1
Male,30-34,Bachelor's degree,White,"$50,000 to $74,999",2,only 1 person in your workplace,Surveillance,DriversLicenseInformation,8,1
Male,25-29,Masters degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your state,InducedDisclosure,DriversLicenseInformation,6,3
Male,25-29,Masters degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your state,Insecurity,DriversLicenseInformation,6,3
Male,25-29,Masters degree,Asian/Pacific Islander,"$75,000 to $99,999",3,only 1 person in your state,Surveillance,DriversLicenseInformation,6,3
Male,18-24,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,5,4
Male,18-24,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",4,only 1 person in your city,Insecurity,DriversLicenseInformation,5,4
Male,18-24,Bachelor's degree,Asian/Pacific Islander,"$35,000 to $49,999",4,only 1 person in your city,Surveillance,DriversLicenseInformation,7,2
Male,35-39,Bachelor's degree,White,"$35,000 to $49,999",3,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,8,1
Male,35-39,Bachelor's degree,White,"$35,000 to $49,999",3,only 1 person in your country,Insecurity,DriversLicenseInformation,8,1
Male,35-39,Bachelor's degree,White,"$35,000 to $49,999",3,only 1 person in your country,Surveillance,DriversLicenseInformation,8,1
Female,55-59,Bachelor's degree,White,"$100,000 to $124,999",5,only 1 person in your country,InducedDisclosure,DriversLicenseInformation,3,6
Female,55-59,Bachelor's degree,White,"$100,000 to $124,999",5,only 1 person in your country,Insecurity,DriversLicenseInformation,3,6
Female,55-59,Bachelor's degree,White,"$100,000 to $124,999",5,only 1 person in your country,Surveillance,DriversLicenseInformation,3,6
Male,45-49,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your city,InducedDisclosure,DriversLicenseInformation,5,4
Male,45-49,Bachelor's degree,White,"$25,000 to $34,999",4,only 1 person in your city,Insecurity,DriversLicenseInformation,6,3
